STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
42,        1PA0099,1,8,0,00000,0,00,041,42635,'CREEK',,'SALEM CHURCH ROAD','0.5 MI S OF US 11',99.99,0,0,,,40143010,076595900,5,3,73,73,09,2006,2,0,1500,2003,0,11.6,0,18,0,0,0,0,0,5,N,0,0,A,1,5,1,19,0,00,1,0,10.9,6.7,7.1,0,0,10.9,12.5,99.99,N,0,N,0,0,N,N,N,6,6,0,36.3,0,32.6,6,6,N,5,6,8,38,1,7.1,721,24,N  ,N  ,N  ,,,,3,23,26,2021,,,               ,0,N,2,,0,0,0,2,6,0,0,5,0,,Y,5,1800,2035,,Y,73,F,6,88.75
42,000000000000001,1,3,1,00000,0,08,001,27704,'US 15; SR 0015',,'BOYLE RD; T-313','N OF MARYLAND LINE',99.99,0,0,,,39432979,077181454,13,3,01,01,19,1963,2,8,871,2022,5,8.5,0,9,0,0,1,1,1,5,N,0,0,A,1,1,5,02,0,00,2,0,8.5,20.1,40.2,0.5,0.5,8.5,10.2,99.99,H,4.5,H,99.9,99.9,7,7,7,N,N,1,87.1,1,28.1,7,5,3,5,N,8,,,0,121,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,0,0,0,1,3,0,0,8,0,,Y,N,983,2032,0,N,42,G,7,410.04
42,000000000000002,1,2,1,00015,1,08,001,27704,'MIDDLE CREEK',,'US 15 NB; SR 0015','1.25M N. MARYLAND LINE',99.99,1.918,1,0000010015,0,39440820,077175007,13,3,01,01,02,1990,2,0,9045,2021,9,12.2,1,6,0,1,1,0,1,5,0,0,0,A,1,5,5,02,0,00,1,0,12.2,29.9,31.4,0.2,0.2,12.2,13,99.99,N,0,N,0,0,7,7,7,8,N,1,90.7,1,47.2,7,7,N,5,9,8,,,0,1120,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,R,1,,1,0,0,1,1,0,1,20,0,,Y,8,10417,2032,0,N,42,G,7,408.2
42,000000000000003,1,2,1,00015,3,08,001,27704,'MIDDLE CREEK',,'US 15 SB; SR 0015','1.25 MI.N. OF MD.LINE',99.99,1.936,1,0000010015,0,39440881,077175080,13,3,01,01,02,1963,2,0,8907,2021,5,12.2,1,6,0,1,1,0,1,5,0,0,0,A,1,5,5,06,0,00,2,0,12.8,14.6,30.8,0.2,0.2,12.8,13.9,99.99,N,0,N,0,0,7,6,6,6,N,1,68.9,1,36.3,6,8,N,5,9,8,,,0,1120,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,L,1,,1,0,1990,1,1,0,1,21,0,,Y,8,10516,2032,0,N,42,F,6,428.12
42,000000000000004,1,2,1,00015,1,08,001,27704,'MARSH CREEK',,'US 15 NB; SR 0015','2 MI N OF MARYLAND LINE',99.99,3.618,1,0000010015,0,39443501,077164757,13,3,01,01,02,1990,2,0,10335,2022,9,12.2,1,0,0,1,1,1,1,5,0,0,0,A,1,5,6,06,0,00,2,0,12.2,22.3,45.4,0.2,0.2,12.2,13,99.99,N,0,N,0,0,7,7,7,5,N,1,76.2,1,45.4,7,7,N,5,9,8,,,0,1220,24,N  ,Y60,N  ,,0721,,0,0,0,,,0,               ,0,R,1,,1,0,,1,1,0,1,22,0,,Y,8,13741,2032,0,N,42,G,7,590.2
42,000000000000005,1,2,1,00015,3,08,001,27704,'MARSH CREEK',,'US 15 SB; SR 0015','2 MI. N. OF MARYLAND LINE',99.99,3.642,1,0000010015,0,39443582,077164802,13,3,01,01,02,1963,2,0,9627,2022,5,12.2,1,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,2,0,12.2,21.6,45.7,0.2,0.2,12.2,13.9,99.99,N,0,N,0,0,6,6,6,5,N,1,65.3,1,25.4,6,7,N,5,9,8,,,0,1220,24,N  ,Y60,N  ,,0720,,0,0,0,,,0,               ,0,L,1,,1,0,0,1,3,0,0,22,0,,Y,8,12732,2032,0,N,42,F,6,635.23
42,000000000000007,1,2,1,00015,0,08,001,17640,'PLUM RUN',,'US 15; SR 0015','S OF GETTYSBURG',99.99,7.953,1,0000010015,0,39461913,077142300,13,3,01,01,02,1963,4,0,19962,2022,5,23.2,2,12,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,00,1,0,18.3,6.7,6.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,0,78,0,46.3,6,N,N,5,9,8,,,0,720,48,N  ,Y48,N  ,,0720,,0,0,0,,,0,               ,0,N,2,,1,0,0,N,N,N,N,22,0,,Y,8,26473,2032,0,N,42,F,6,155.44
42,000000000000008,1,3,1,00000,0,08,001,17640,'US 15 NB; SR 0015',,'T-417; SACHS RD','SOUTH OF GETTYSBURG',99.99,0.014,0,,,39471187,077125967,11,3,01,01,19,1990,2,2,151,2022,9,8.8,0,0,0,1,1,1,1,5,N,0,0,A,1,1,5,02,0,00,3,0,8.9,26.5,46.9,0.2,0.2,8.9,9.9,99.99,H,4.67,H,99.9,99.9,8,7,7,N,N,1,87.1,1,46.3,7,6,4,5,N,8,,,0,121,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,0,0,0,1,1,0,1,7,0,,Y,N,188,2032,0,N,42,G,7,464.31
42,000000000000010,1,3,1,00000,0,08,001,17640,'US 15 SB; SR 0015',,'T-417; SACHS RD','S OF GETTYSBURG',99.99,0,0,,,39471297,077130125,11,3,01,01,19,1963,2,2,151,2022,5,5.2,0,0,0,0,1,0,1,5,N,0,0,A,1,1,5,06,0,00,1,0,9.1,12.8,14,0.5,0.5,9.1,11,99.99,H,4.57,H,99.9,99.9,5,7,7,N,N,1,72.6,1,29.9,7,6,4,5,N,8,,,0,121,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,0,0,0,1,6,0,0,7,0,,Y,N,188,2032,0,N,42,F,5,154
42,000000000000012,1,2,1,00015,1,08,001,17640,'ROCK CREEK',,'US 15 NB; SR 0015','SOUTH OF GETTYSBURG',99.99,12.089,1,0000010015,0,39473231,077122685,1,3,01,01,12,1990,2,0,10335,2022,9,12.2,1,29,0,1,1,1,1,5,0,0,0,A,1,5,5,06,0,00,2,0,12.2,23.2,47.5,0.2,0.2,12.4,13.2,99.99,N,0,N,0,0,7,7,7,6,N,1,66.2,1,39.9,7,7,N,5,9,8,,,0,121,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,R,1,,1,0,,1,1,0,1,22,0,,Y,8,13741,2032,0,N,42,G,7,627
